|note|tags|spanish_verb|inf_verb|person|sing_or_plural|mood|tense|pos_neg_cmd|cast_note|conj_verb|code|region|verb_type|gender|haver_verb|anar_verb|note1|note2|cat_note|tense_tag|mood_tag|ending_tag|pronoun_tag|cat_tags
55|⊙ Ara mateix, ⊙vosaltres {{c1::habéis::…haber…}} (canviat d'opinió)| ends_in_er extreme_irregularity haber irregular_verb presente regular_form vosotros |haber|haver|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::habéis::…haber…}} (cambiado de opinión)|heu|VAIP2P00|central|A|0|||⊙ Ara mateix, ⊙vosaltres | (canviat d'opinió)|⊙ Ara mateix, ⊙vosaltres {{c1::heu::…haver…}} (canviat d'opinió)|present|indicatiu|-er|vosaltres| present indicatiu -er vosaltres haver 
56|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::han::…haber…}} (canviat d'opinió)| ellos_ellas_ustedes ends_in_er extreme_irregularity haber irregular_form irregular_verb presente |haber|haver|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::han::…haber…}} (cambiado de opinión)|han|VAIP3P00|central|A|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (canviat d'opinió)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::han::…haver…}} (canviat d'opinió)|present|indicatiu|-er|ells/elles/vostès| present indicatiu -er ells/elles/vostès haver 
95|⊙ Ara mateix, ⊙jo {{c1::estoy::…estar…}} (feliç)| ends_in_ar estar high_irregularity in_the_wild irregular_form irregular_verb modismo presente yo |estar|estar|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::estoy::…estar…}} (en Cádiz)|estic|VMIP1S00|central|M|0|||⊙ Ara mateix, ⊙jo | (feliç)|⊙ Ara mateix, ⊙jo {{c1::estic::…estar…}} (feliç)|present|indicatiu|-ar|jo| present indicatiu -ar jo estar 
96|⊙ Ara mateix, ⊙tu {{c1::estàs::…estar…}} (feliç)| ends_in_ar estar high_irregularity in_the_wild irregular_form irregular_verb modismo presente tú_vos |estar|estar|2|S|I|P|0|⊙ Ahora mismo, ⊙tú/vos {{c1::estás::…estar…}} (en Cádiz)|estàs|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (feliç)|⊙ Ara mateix, ⊙tu {{c1::estàs::…estar…}} (feliç)|present|indicatiu|-ar|tu| present indicatiu -ar tu estar 
97|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::està::…estar…}} (feliç)| dicho ends_in_ar estar high_irregularity in_the_wild irregular_form irregular_verb presente él_ella_usted |estar|estar|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::está::…estar…}} (en Cádiz)|està|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (feliç)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::està::…estar…}} (feliç)|present|indicatiu|-ar|ell/ella/vostè| present indicatiu -ar ell/ella/vostè estar 
98|⊙ Ara mateix, ⊙nosaltres {{c1::estamos::…estar…}} (feliços)| ends_in_ar estar high_irregularity in_the_wild irregular_verb modismo nosotros presente regular_form |estar|estar|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::estamos::…estar…}} (en Cádiz)|estem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (feliços)|⊙ Ara mateix, ⊙nosaltres {{c1::estem::…estar…}} (feliços)|present|indicatiu|-ar|nosaltres| present indicatiu -ar nosaltres estar 
99|⊙ Ara mateix, ⊙vosaltres {{c1::estàis::…estar…}} (feliços)| ends_in_ar estar high_irregularity in_the_wild irregular_verb modismo presente regular_form vosotros |estar|estar|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::estáis::…estar…}} (en Cádiz)|esteu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (feliços)|⊙ Ara mateix, ⊙vosaltres {{c1::esteu::…estar…}} (feliços)|present|indicatiu|-ar|vosaltres| present indicatiu -ar vosaltres estar 
100|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::estàn::…estar…}} (feliços)| ellos_ellas_ustedes ends_in_ar estar high_irregularity irregular_form irregular_verb presente |estar|estar|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::están::…estar…}} (en Cádiz)|estan|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (feliços)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::estan::…estar…}} (feliços)|present|indicatiu|-ar|ells/elles/vostès| present indicatiu -ar ells/elles/vostès estar 
144|⊙ Ara mateix, ⊙jo {{c1::hablo::…hablar…}} (del passat)| ends_in_ar hablar presente regular_form regular_verb yo |hablar|parlar|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::hablo::…hablar…}} (del pasado)|parlo|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (del passat)|⊙ Ara mateix, ⊙jo {{c1::parlo::…parlar…}} (del passat)|present|indicatiu|-ar|jo| present indicatiu -ar jo parlar 
145|⊙ Ara mateix, ⊙tu {{c1::hablas::…hablar…}} (del passat)| ends_in_ar hablar presente regular_form regular_verb tú tú_vos |hablar|parlar|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::hablas::…hablar…}} (del pasado)|parles|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (del passat)|⊙ Ara mateix, ⊙tu {{c1::parles::…parlar…}} (del passat)|present|indicatiu|-ar|tu| present indicatiu -ar tu parlar 
146|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::habla::…hablar…}} (del passat)| ends_in_ar hablar in_the_wild presente refrán regular_form regular_verb él_ella_usted |hablar|parlar|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::habla::…hablar…}} (del pasado)|parla|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (del passat)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::parla::…parlar…}} (del passat)|present|indicatiu|-ar|ell/ella/vostè| present indicatiu -ar ell/ella/vostè parlar 
147|⊙ Ara mateix, ⊙nosaltres {{c1::hablamos::…hablar…}} (del passat)| ends_in_ar hablar nosotros presente regular_form regular_verb |hablar|parlar|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::hablamos::…hablar…}} (del pasado)|parlem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (del passat)|⊙ Ara mateix, ⊙nosaltres {{c1::parlem::…parlar…}} (del passat)|present|indicatiu|-ar|nosaltres| present indicatiu -ar nosaltres parlar 
148|⊙ Ara mateix, ⊙vosaltres {{c1::habláis::…hablar…}} (del passat)| ends_in_ar hablar presente regular_form regular_verb vosotros |hablar|parlar|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::habláis::…hablar…}} (del pasado)|parleu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (del passat)|⊙ Ara mateix, ⊙vosaltres {{c1::parleu::…parlar…}} (del passat)|present|indicatiu|-ar|vosaltres| present indicatiu -ar vosaltres parlar 
149|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::hablan::…hablar…}} (del passat)| ellos_ellas_ustedes ends_in_ar hablar presente regular_form regular_verb |hablar|parlar|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::hablan::…hablar…}} (del pasado)|parlen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (del passat)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::parlen::…parlar…}} (del passat)|present|indicatiu|-ar|ells/elles/vostès| present indicatiu -ar ells/elles/vostès parlar 
193|⊙ Ara mateix, ⊙jo {{c1::debo::…deber…}} (sortir)| deber ends_in_er presente regular_form regular_verb yo |deber|deure|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::debo::…deber…}} (salir)|dec|VMIP1S00|central|M|0|||⊙ Ara mateix, ⊙jo | (sortir)|⊙ Ara mateix, ⊙jo {{c1::dec::…deure…}} (sortir)|present|indicatiu|-re|jo| present indicatiu -re jo deure 
194|⊙ Ara mateix, ⊙tu {{c1::debes::…deber…}} (sortir)| deber ends_in_er presente regular_form regular_verb tú tú_vos |deber|deure|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::debes::…deber…}} (salir)|deus|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (sortir)|⊙ Ara mateix, ⊙tu {{c1::deus::…deure…}} (sortir)|present|indicatiu|-re|tu| present indicatiu -re tu deure 
195|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::debe::…deber…}} (sortir)| deber ends_in_er in_the_wild presente refrán regular_form regular_verb él_ella_usted |deber|deure|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::debe::…deber…}} (salir)|deu|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (sortir)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::deu::…deure…}} (sortir)|present|indicatiu|-re|ell/ella/vostè| present indicatiu -re ell/ella/vostè deure 
196|⊙ Ara mateix, ⊙nosaltres {{c1::debemos::…deber…}} (sortir)| deber ends_in_er nosotros presente regular_form regular_verb |deber|deure|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::debemos::…deber…}} (salir)|devem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (sortir)|⊙ Ara mateix, ⊙nosaltres {{c1::devem::…deure…}} (sortir)|present|indicatiu|-re|nosaltres| present indicatiu -re nosaltres deure 
197|⊙ Ara mateix, ⊙vosaltres {{c1::debéis::…deber…}} (sortir)| deber ends_in_er presente regular_form regular_verb vosotros |deber|deure|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::debéis::…deber…}} (salir)|deveu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (sortir)|⊙ Ara mateix, ⊙vosaltres {{c1::deveu::…deure…}} (sortir)|present|indicatiu|-re|vosaltres| present indicatiu -re vosaltres deure 
198|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::deben::…deber…}} (sortir)| deber ellos_ellas_ustedes ends_in_er presente regular_form regular_verb |deber|deure|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::deben::…deber…}} (salir)|deuen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (sortir)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::deuen::…deure…}} (sortir)|present|indicatiu|-re|ells/elles/vostès| present indicatiu -re ells/elles/vostès deure 
242|⊙ Ara mateix, ⊙jo {{c1::vivo::…vivir…}} (amb poc)| ends_in_ir presente regular_form regular_verb vivir yo |vivir|viure|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::vivo::…vivir…}} (con poco)|visc|VMIP1S00|central|M|0|||⊙ Ara mateix, ⊙jo | (amb poc)|⊙ Ara mateix, ⊙jo {{c1::visc::…viure…}} (amb poc)|present|indicatiu|-re|jo| present indicatiu -re jo viure 
243|⊙ Ara mateix, ⊙tu {{c1::vives::…vivir…}} (amb poc)| ends_in_ir presente regular_form regular_verb tú tú_vos vivir |vivir|viure|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::vives::…vivir…}} (con poco)|vius|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (amb poc)|⊙ Ara mateix, ⊙tu {{c1::vius::…viure…}} (amb poc)|present|indicatiu|-re|tu| present indicatiu -re tu viure 
244|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::vive::…vivir…}} (amb poc)| ends_in_ir in_the_wild presente refrán regular_form regular_verb vivir él_ella_usted |vivir|viure|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::vive::…vivir…}} (con poco)|viu|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (amb poc)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::viu::…viure…}} (amb poc)|present|indicatiu|-re|ell/ella/vostè| present indicatiu -re ell/ella/vostè viure 
245|⊙ Ara mateix, ⊙nosaltres {{c1::vivimos::…vivir…}} (amb poc)| ends_in_ir nosotros presente regular_form regular_verb vivir |vivir|viure|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::vivimos::…vivir…}} (con poco)|vivim|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (amb poc)|⊙ Ara mateix, ⊙nosaltres {{c1::vivim::…viure…}} (amb poc)|present|indicatiu|-re|nosaltres| present indicatiu -re nosaltres viure 
246|⊙ Ara mateix, ⊙vosaltres {{c1::vivís::…vivir…}} (amb poc)| ends_in_ir presente regular_form regular_verb vivir vosotros |vivir|viure|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::vivís::…vivir…}} (con poco)|viviu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (amb poc)|⊙ Ara mateix, ⊙vosaltres {{c1::viviu::…viure…}} (amb poc)|present|indicatiu|-re|vosaltres| present indicatiu -re vosaltres viure 
247|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::viven::…vivir…}} (amb poc)| ellos_ellas_ustedes ends_in_ir presente regular_form regular_verb vivir |vivir|viure|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::viven::…vivir…}} (con poco)|viuen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (amb poc)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::viuen::…viure…}} (amb poc)|present|indicatiu|-re|ells/elles/vostès| present indicatiu -re ells/elles/vostès viure 
291|⊙ Ara mateix, ⊙jo {{c1::tengo::…tener…}} (ganas de sortir)| ends_in_er extreme_irregularity irregular_form irregular_verb presente tener yo |tener|tenir|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::tengo::…tener…}} (ganas de salir)|tinc|VMIP1S00|central|M|0|||⊙ Ara mateix, ⊙jo | (ganas de sortir)|⊙ Ara mateix, ⊙jo {{c1::tinc::…tenir…}} (ganas de sortir)|present|indicatiu|-ir|jo| present indicatiu -ir jo tenir 
292|⊙ Ara mateix, ⊙tu {{c1::tienes::…tener…}} (ganas de sortir)| ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb modismo presente tener tú tú_vos |tener|tenir|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::tienes::…tener…}} (ganas de salir)|tens|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (ganas de sortir)|⊙ Ara mateix, ⊙tu {{c1::tens::…tenir…}} (ganas de sortir)|present|indicatiu|-ir|tu| present indicatiu -ir tu tenir 
293|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::tiene::…tener…}} (ganas de sortir)| ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb modismo presente tener él_ella_usted |tener|tenir|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::tiene::…tener…}} (ganas de salir)|té|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (ganas de sortir)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::té::…tenir…}} (ganas de sortir)|present|indicatiu|-ir|ell/ella/vostè| present indicatiu -ir ell/ella/vostè tenir 
294|⊙ Ara mateix, ⊙nosaltres {{c1::tenemos::…tener…}} (ganas de sortir)| ends_in_er extreme_irregularity irregular_verb nosotros presente regular_form tener |tener|tenir|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::tenemos::…tener…}} (ganas de salir)|tenim|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (ganas de sortir)|⊙ Ara mateix, ⊙nosaltres {{c1::tenim::…tenir…}} (ganas de sortir)|present|indicatiu|-ir|nosaltres| present indicatiu -ir nosaltres tenir 
295|⊙ Ara mateix, ⊙vosaltres {{c1::tenéis::…tener…}} (ganas de sortir)| ends_in_er extreme_irregularity irregular_verb presente regular_form tener vosotros |tener|tenir|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::tenéis::…tener…}} (ganas de salir)|teniu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (ganas de sortir)|⊙ Ara mateix, ⊙vosaltres {{c1::teniu::…tenir…}} (ganas de sortir)|present|indicatiu|-ir|vosaltres| present indicatiu -ir vosaltres tenir 
296|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::tienen::…tener…}} (ganas de sortir)| ellos_ellas_ustedes ends_in_er extreme_irregularity irregular_form irregular_verb presente tener |tener|tenir|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::tienen::…tener…}} (ganas de salir)|tenen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (ganas de sortir)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::tenen::…tenir…}} (ganas de sortir)|present|indicatiu|-ir|ells/elles/vostès| present indicatiu -ir ells/elles/vostès tenir 
340|⊙ Ara mateix, ⊙jo {{c1::digo::…decir…}} (que no)| decir ends_in_ir extreme_irregularity irregular_form irregular_verb presente yo |decir|dir|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::digo::…decir…}} (que no)|dic|VMIP1S00|central|M|0|||⊙ Ara mateix, ⊙jo | (que no)|⊙ Ara mateix, ⊙jo {{c1::dic::…dir…}} (que no)|present|indicatiu|-ir|jo| present indicatiu -ir jo dir 
341|⊙ Ara mateix, ⊙tu {{c1::dices::…decir…}} (que no)| decir ends_in_ir extreme_irregularity irregular_form irregular_verb presente tú tú_vos |decir|dir|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::dices::…decir…}} (que no)|dius|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (que no)|⊙ Ara mateix, ⊙tu {{c1::dius::…dir…}} (que no)|present|indicatiu|-ir|tu| present indicatiu -ir tu dir 
342|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::dice::…decir…}} (que no)| decir dicho ends_in_ir extreme_irregularity in_the_wild irregular_form irregular_verb presente él_ella_usted |decir|dir|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::dice::…decir…}} (que no)|diu|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (que no)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::diu::…dir…}} (que no)|present|indicatiu|-ir|ell/ella/vostè| present indicatiu -ir ell/ella/vostè dir 
343|⊙ Ara mateix, ⊙nosaltres {{c1::decimos::…decir…}} (que no)| decir ends_in_ir extreme_irregularity irregular_verb nosotros presente regular_form |decir|dir|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::decimos::…decir…}} (que no)|diem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (que no)|⊙ Ara mateix, ⊙nosaltres {{c1::diem::…dir…}} (que no)|present|indicatiu|-ir|nosaltres| present indicatiu -ir nosaltres dir 
344|⊙ Ara mateix, ⊙vosaltres {{c1::decís::…decir…}} (que no)| decir ends_in_ir extreme_irregularity irregular_verb presente regular_form vosotros |decir|dir|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::decís::…decir…}} (que no)|dieu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (que no)|⊙ Ara mateix, ⊙vosaltres {{c1::dieu::…dir…}} (que no)|present|indicatiu|-ir|vosaltres| present indicatiu -ir vosaltres dir 
345|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::dicen::…decir…}} (que no)| decir ellos_ellas_ustedes ends_in_ir extreme_irregularity irregular_form irregular_verb presente |decir|dir|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::dicen::…decir…}} (que no)|diuen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (que no)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::diuen::…dir…}} (que no)|present|indicatiu|-ir|ells/elles/vostès| present indicatiu -ir ells/elles/vostès dir 
389|⊙ Ara mateix, ⊙jo {{c1::hago::…hacer…}} (pastissos)| ends_in_er extreme_irregularity hacer irregular_form irregular_verb presente yo |hacer|fer|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::hago::…hacer…}} (pasteles)|faig|VMIP1S00|central|M|0|||⊙ Ara mateix, ⊙jo | (pastissos)|⊙ Ara mateix, ⊙jo {{c1::faig::…fer…}} (pastissos)|present|indicatiu|-er|jo| present indicatiu -er jo fer 
390|⊙ Ara mateix, ⊙tu {{c1::haces::…hacer…}} (pastissos)| ends_in_er extreme_irregularity hacer irregular_verb presente regular_form tú tú_vos |hacer|fer|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::haces::…hacer…}} (pasteles)|fas|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (pastissos)|⊙ Ara mateix, ⊙tu {{c1::fas::…fer…}} (pastissos)|present|indicatiu|-er|tu| present indicatiu -er tu fer 
391|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::hace::…hacer…}} (pastissos)| ends_in_er extreme_irregularity hacer in_the_wild irregular_verb presente refrán regular_form él_ella_usted |hacer|fer|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::hace::…hacer…}} (pasteles)|fa|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (pastissos)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::fa::…fer…}} (pastissos)|present|indicatiu|-er|ell/ella/vostè| present indicatiu -er ell/ella/vostè fer 
