	note	tags	spanish_verb	inf_verb	person	sing_or_plural	mood	tense	pos_neg_cmd	note1	note2
3378	→ En el futuro, →él/ella/usted {{c1::discernirá::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir futuro irregular_verb low_irregularity regular_form él_ella_usted 	discernir	discernir	3	S	I	F	0	→ En el futuro, →él/ella/usted 	 (una cosa de la otra)
3367	⇠ En esa época, a menudo, ⇠nosotros {{c1::discerníamos::…discernir…}} (el bueno del malo)	 discernir ends_in_ir imperfecto irregular_verb low_irregularity nosotros regular_form 	discernir	discernir	1	P	I	I	0	⇠ En esa época, a menudo, ⇠nosotros 	 (el bueno del malo)
3364	⇠ En esa época, a menudo, ⇠yo {{c1::discernía::…discernir…}} (el bueno del malo)	 discernir ends_in_ir imperfecto irregular_verb low_irregularity regular_form yo 	discernir	discernir	1	S	I	I	0	⇠ En esa época, a menudo, ⇠yo 	 (el bueno del malo)
3368	⇠ En esa época, a menudo, ⇠vosotros {{c1::discerníais::…discernir…}} (el bueno del malo)	 discernir ends_in_ir imperfecto irregular_verb low_irregularity regular_form vosotros 	discernir	discernir	2	P	I	I	0	⇠ En esa época, a menudo, ⇠vosotros 	 (el bueno del malo)
3369	⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes {{c1::discernían::…discernir…}} (el bueno del malo)	 discernir ellos_ellas_ustedes ends_in_ir imperfecto irregular_verb low_irregularity regular_form 	discernir	discernir	3	P	I	I	0	⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes 	 (el bueno del malo)
3366	⇠ En esa época, a menudo, ⇠él/ella/usted {{c1::discernía::…discernir…}} (el bueno del malo)	 discernir ends_in_ir imperfecto irregular_verb low_irregularity regular_form él_ella_usted 	discernir	discernir	3	S	I	I	0	⇠ En esa época, a menudo, ⇠él/ella/usted 	 (el bueno del malo)
3361	⊙ Ahora mismo, ⊙nosotros {{c1::discernimos::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir irregular_verb low_irregularity nosotros presente regular_form 	discernir	discernir	1	P	I	P	0	⊙ Ahora mismo, ⊙nosotros 	 (una cosa de la otra)
3357	⊙ Ahora mismo, ⊙yo {{c1::discierno::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir irregular_form irregular_verb low_irregularity presente yo 	discernir	discernir	1	S	I	P	0	⊙ Ahora mismo, ⊙yo 	 (una cosa de la otra)
3362	⊙ Ahora mismo, ⊙vosotros {{c1::discernís::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir irregular_verb low_irregularity presente regular_form vosotros 	discernir	discernir	2	P	I	P	0	⊙ Ahora mismo, ⊙vosotros 	 (una cosa de la otra)
3363	⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::disciernen::…discernir…}} (una cosa de la otra)	 discernir ellos_ellas_ustedes ends_in_ir irregular_form irregular_verb low_irregularity presente 	discernir	discernir	3	P	I	P	0	⊙ Ahora mismo, ⊙ellos/ellas/ustedes 	 (una cosa de la otra)
3360	⊙ Ahora mismo, ⊙él/ella/usted {{c1::discierne::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir irregular_form irregular_verb low_irregularity presente él_ella_usted 	discernir	discernir	3	S	I	P	0	⊙ Ahora mismo, ⊙él/ella/usted 	 (una cosa de la otra)
3373	↧ En aquel momento ↧nosotros {{c1::discernimos::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir indefinido irregular_verb low_irregularity nosotros regular_form 	discernir	discernir	1	P	I	passat_perifrastic	0	↧ En aquel momento ↧nosotros 	 (una cosa de la otra)
3370	↧ En aquel momento ↧yo {{c1::discerní::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir indefinido irregular_verb low_irregularity regular_form yo 	discernir	discernir	1	S	I	passat_perifrastic	0	↧ En aquel momento ↧yo 	 (una cosa de la otra)
3374	↧ En aquel momento ↧vosotros {{c1::discernisteis::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir indefinido irregular_verb low_irregularity regular_form vosotros 	discernir	discernir	2	P	I	passat_perifrastic	0	↧ En aquel momento ↧vosotros 	 (una cosa de la otra)
3375	↧ En aquel momento ↧ellos/ellas/ustedes {{c1::discernieron::…discernir…}} (una cosa de la otra)	 discernir ellos_ellas_ustedes ends_in_ir indefinido irregular_verb low_irregularity regular_form 	discernir	discernir	3	P	I	passat_perifrastic	0	↧ En aquel momento ↧ellos/ellas/ustedes 	 (una cosa de la otra)
3372	↧ En aquel momento ↧él/ella/usted {{c1::discernió::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir indefinido irregular_verb low_irregularity regular_form él_ella_usted 	discernir	discernir	3	S	I	passat_perifrastic	0	↧ En aquel momento ↧él/ella/usted 	 (una cosa de la otra)
3404	Vámonos equipo, por favor,¡ (que) {{c1::discernamos::…discernir…}} (una cosa de la otra), ya !(nosotros)	 discernir ends_in_ir imperativo irregular_verb low_irregularity nosotros regular_form 	discernir	discernir	1	P	M	0	pos	Vámonos equipo, por favor,¡ (que) 	 (una cosa de la otra), ya !(nosotros)
3405	Tú y tú, por favor,¡ {{c1::discernid::…discernir…}} (una cosa de la otra), ya !(vosotros)	 discernir ends_in_ir imperativo irregular_verb low_irregularity regular_form vosotros 	discernir	discernir	2	P	M	0	pos	Tú y tú, por favor,¡ 	 (una cosa de la otra), ya !(vosotros)
3406	Señores, por favor,¡ (que) {{c1::disciernan::…discernir…}} (una cosa de la otra), ya ! (ellos/ellas/ustedes)	 discernir ellos_ellas_ustedes ends_in_ir imperativo irregular_form irregular_verb low_irregularity 	discernir	discernir	3	P	M	0	pos	Señores, por favor,¡ (que) 	 (una cosa de la otra), ya ! (ellos/ellas/ustedes)
3403	Señora, por favor,¡ (que) {{c1::discierna::…discernir…}} (una cosa de la otra), ya !(él/ella/usted)	 discernir ends_in_ir imperativo irregular_form irregular_verb low_irregularity él_ella_usted 	discernir	discernir	3	S	M	0	pos	Señora, por favor,¡ (que) 	 (una cosa de la otra), ya !(él/ella/usted)
3356	Hugo ha {{c1::discernido::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir irregular_verb low_irregularity participio regular_form 	discernir	discernir	0	S	P	0	0	Hugo ha 	 (una cosa de la otra)
3397	↫ Fue sorprendente que ↫nosotros {{c1::discerniéramos | discerniésemos::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir irregular_verb low_irregularity nosotros regular_form subjuntivo_pasado 	discernir	discernir	1	P	S	I	0	↫ Fue sorprendente que ↫nosotros 	 (una cosa de la otra)
3394	↫ Fue sorprendente que ↫yo {{c1::discerniera | discerniese::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir irregular_verb low_irregularity regular_form subjuntivo_pasado yo 	discernir	discernir	1	S	S	I	0	↫ Fue sorprendente que ↫yo 	 (una cosa de la otra)
3398	↫ Fue sorprendente que ↫vosotros {{c1::discernierais | discernieseis::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir irregular_verb low_irregularity regular_form subjuntivo_pasado vosotros 	discernir	discernir	2	P	S	I	0	↫ Fue sorprendente que ↫vosotros 	 (una cosa de la otra)
3399	↫ Fue sorprendente que ↫ellos/ellas/ustedes {{c1::discernieran | discerniesen::…discernir…}} (una cosa de la otra)	 discernir ellos_ellas_ustedes ends_in_ir irregular_verb low_irregularity regular_form subjuntivo_pasado 	discernir	discernir	3	P	S	I	0	↫ Fue sorprendente que ↫ellos/ellas/ustedes 	 (una cosa de la otra)
3396	↫ Fue sorprendente que ↫él/ella/usted {{c1::discerniera | discerniese::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir irregular_verb low_irregularity regular_form subjuntivo_pasado él_ella_usted 	discernir	discernir	3	S	S	I	0	↫ Fue sorprendente que ↫él/ella/usted 	 (una cosa de la otra)
3391	〰 Resulta divertido que 〰nosotros {{c1::discernamos::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir irregular_verb low_irregularity nosotros regular_form subjuntivo_presente 	discernir	discernir	1	P	S	P	0	〰 Resulta divertido que 〰nosotros 	 (una cosa de la otra)
3388	〰 Resulta divertido que 〰yo {{c1::discierna::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir irregular_form irregular_verb low_irregularity subjuntivo_presente yo 	discernir	discernir	1	S	S	P	0	〰 Resulta divertido que 〰yo 	 (una cosa de la otra)
3392	〰 Resulta divertido que 〰vosotros {{c1::discernáis::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir irregular_verb low_irregularity regular_form subjuntivo_presente vosotros 	discernir	discernir	2	P	S	P	0	〰 Resulta divertido que 〰vosotros 	 (una cosa de la otra)
3393	〰 Resulta divertido que 〰ellos/ellas/ustedes {{c1::disciernan::…discernir…}} (una cosa de la otra)	 discernir ellos_ellas_ustedes ends_in_ir irregular_form irregular_verb low_irregularity subjuntivo_presente 	discernir	discernir	3	P	S	P	0	〰 Resulta divertido que 〰ellos/ellas/ustedes 	 (una cosa de la otra)
3390	〰 Resulta divertido que 〰él/ella/usted {{c1::discierna::…discernir…}} (una cosa de la otra)	 discernir ends_in_ir irregular_form irregular_verb low_irregularity subjuntivo_presente él_ella_usted 	discernir	discernir	3	S	S	P	0	〰 Resulta divertido que 〰él/ella/usted 	 (una cosa de la otra)
633	Mientras estoy estudiando…ella está {{c1::dando::…dar…}} (clases)	 dar ends_in_ar gerundio high_irregularity in_the_wild irregular_verb modismo regular_form 	dar	donar	0	0	G	0	0	Mientras estoy estudiando…ella está 	 (clases)
662	… Si pasara algo, …nosotros {{c1::daríamos::…dar…}} (clases)	 condicional dar ends_in_ar high_irregularity irregular_verb nosotros regular_form 	dar	donar	1	P	I	C	0	… Si pasara algo, …nosotros 	 (clases)
659	… Si ocurriese esto, …yo {{c1::daría::…dar…}} (clases)	 condicional dar ends_in_ar high_irregularity irregular_verb regular_form yo 	dar	donar	1	S	I	C	0	… Si ocurriese esto, …yo 	 (clases)
663	… Si aconteciese esto, …vosotros {{c1::daríais::…dar…}} (clases)	 condicional dar ends_in_ar high_irregularity irregular_verb regular_form vosotros 	dar	donar	2	P	I	C	0	… Si aconteciese esto, …vosotros 	 (clases)
664	… Si se produjera esto, …ellos/ellas/ustedes {{c1::darían::…dar…}} (clases)	 condicional dar ellos_ellas_ustedes ends_in_ar high_irregularity irregular_verb regular_form 	dar	donar	3	P	I	C	0	… Si se produjera esto, …ellos/ellas/ustedes 	 (clases)
661	… Si acaeciera algo, …él/ella/usted {{c1::daría::…dar…}} (clases)	 condicional dar ends_in_ar high_irregularity irregular_verb regular_form él_ella_usted 	dar	donar	3	S	I	C	0	… Si acaeciera algo, …él/ella/usted 	 (clases)
656	→ En el futuro, →nosotros {{c1::daremos::…dar…}} (clases)	 dar ends_in_ar futuro high_irregularity irregular_verb nosotros regular_form 	dar	donar	1	P	I	F	0	→ En el futuro, →nosotros 	 (clases)
653	→ En el futuro, →yo {{c1::daré::…dar…}} (clases)	 dar ends_in_ar futuro high_irregularity irregular_verb regular_form yo 	dar	donar	1	S	I	F	0	→ En el futuro, →yo 	 (clases)
657	→ En el futuro, →vosotros {{c1::daréis::…dar…}} (clases)	 dar ends_in_ar futuro high_irregularity irregular_verb regular_form vosotros 	dar	donar	2	P	I	F	0	→ En el futuro, →vosotros 	 (clases)
658	→ En el futuro, →ellos/ellas/ustedes {{c1::darán::…dar…}} (clases)	 dar ellos_ellas_ustedes ends_in_ar futuro high_irregularity irregular_verb regular_form 	dar	donar	3	P	I	F	0	→ En el futuro, →ellos/ellas/ustedes 	 (clases)
655	→ En el futuro, →él/ella/usted {{c1::dará::…dar…}} (clases)	 dar ends_in_ar futuro high_irregularity irregular_verb regular_form él_ella_usted 	dar	donar	3	S	I	F	0	→ En el futuro, →él/ella/usted 	 (clases)
644	⇠ En esa época, a menudo, ⇠nosotros {{c1::dábamos::…dar…}} (clases)	 dar ends_in_ar high_irregularity imperfecto irregular_verb nosotros regular_form 	dar	donar	1	P	I	I	0	⇠ En esa época, a menudo, ⇠nosotros 	 (clases)
641	⇠ En esa época, a menudo, ⇠yo {{c1::daba::…dar…}} (clases)	 dar ends_in_ar high_irregularity imperfecto irregular_verb regular_form yo 	dar	donar	1	S	I	I	0	⇠ En esa época, a menudo, ⇠yo 	 (clases)
645	⇠ En esa época, a menudo, ⇠vosotros {{c1::dabais::…dar…}} (clases)	 dar ends_in_ar high_irregularity imperfecto irregular_verb regular_form vosotros 	dar	donar	2	P	I	I	0	⇠ En esa época, a menudo, ⇠vosotros 	 (clases)
646	⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes {{c1::daban::…dar…}} (clases)	 dar ellos_ellas_ustedes ends_in_ar high_irregularity imperfecto in_the_wild irregular_verb modismo regular_form 	dar	donar	3	P	I	I	0	⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes 	 (clases)
643	⇠ En esa época, a menudo, ⇠él/ella/usted {{c1::daba::…dar…}} (clases)	 dar dicho ends_in_ar high_irregularity imperfecto in_the_wild irregular_verb regular_form él_ella_usted 	dar	donar	3	S	I	I	0	⇠ En esa época, a menudo, ⇠él/ella/usted 	 (clases)
638	⊙ Ahora mismo, ⊙nosotros {{c1::damos::…dar…}} (clases)	 dar ends_in_ar high_irregularity irregular_verb nosotros presente regular_form 	dar	donar	1	P	I	P	0	⊙ Ahora mismo, ⊙nosotros 	 (clases)
635	⊙ Ahora mismo, ⊙yo {{c1::doy::…dar…}} (clases)	 dar ends_in_ar high_irregularity irregular_form irregular_verb presente yo 	dar	donar	1	S	I	P	0	⊙ Ahora mismo, ⊙yo 	 (clases)
639	⊙ Ahora mismo, ⊙vosotros {{c1::dais::…dar…}} (clases)	 dar ends_in_ar high_irregularity irregular_form irregular_verb presente vosotros 	dar	donar	2	P	I	P	0	⊙ Ahora mismo, ⊙vosotros 	 (clases)
640	⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::dan::…dar…}} (clases)	 dar ellos_ellas_ustedes ends_in_ar high_irregularity irregular_verb presente regular_form 	dar	donar	3	P	I	P	0	⊙ Ahora mismo, ⊙ellos/ellas/ustedes 	 (clases)
637	⊙ Ahora mismo, ⊙él/ella/usted {{c1::da::…dar…}} (clases)	 dar dicho ends_in_ar high_irregularity in_the_wild irregular_verb presente regular_form él_ella_usted 	dar	donar	3	S	I	P	0	⊙ Ahora mismo, ⊙él/ella/usted 	 (clases)
650	↧ En aquel momento ↧nosotros {{c1::dimos::…dar…}} (clases)	 dar ends_in_ar high_irregularity in_the_wild indefinido irregular_form irregular_verb modismo nosotros 	dar	donar	1	P	I	passat_perifrastic	0	↧ En aquel momento ↧nosotros 	 (clases)
647	↧ En aquel momento ↧yo {{c1::di::…dar…}} (clases)	 dar ends_in_ar high_irregularity indefinido irregular_form irregular_verb yo 	dar	donar	1	S	I	passat_perifrastic	0	↧ En aquel momento ↧yo 	 (clases)
651	↧ En aquel momento ↧vosotros {{c1::disteis::…dar…}} (clases)	 dar ends_in_ar high_irregularity indefinido irregular_form irregular_verb vosotros 	dar	donar	2	P	I	passat_perifrastic	0	↧ En aquel momento ↧vosotros 	 (clases)
652	↧ En aquel momento ↧ellos/ellas/ustedes {{c1::dieron::…dar…}} (clases)	 dar ellos_ellas_ustedes ends_in_ar high_irregularity in_the_wild indefinido irregular_form irregular_verb modismo 	dar	donar	3	P	I	passat_perifrastic	0	↧ En aquel momento ↧ellos/ellas/ustedes 	 (clases)
649	↧ En aquel momento ↧él/ella/usted {{c1::dio::…dar…}} (clases)	 dar ends_in_ar high_irregularity in_the_wild indefinido irregular_form irregular_verb modismo él_ella_usted 	dar	donar	3	S	I	passat_perifrastic	0	↧ En aquel momento ↧él/ella/usted 	 (clases)
680	Vámonos equipo, por favor,¡ (que) {{c1::demos::…dar…}} (las clases), ya !(nosotros)	 dar ends_in_ar high_irregularity imperativo irregular_verb nosotros regular_form 	dar	donar	1	P	M	0	pos	Vámonos equipo, por favor,¡ (que) 	 (las clases), ya !(nosotros)
681	Tú y tú, por favor,¡ {{c1::dad::…dar…}} (las clases), ya !(vosotros)	 dar ends_in_ar high_irregularity imperativo irregular_verb regular_form vosotros 	dar	donar	2	P	M	0	pos	Tú y tú, por favor,¡ 	 (las clases), ya !(vosotros)
682	Señores, por favor,¡ (que) {{c1::den::…dar…}} (las clases), ya ! (ellos/ellas/ustedes)	 dar ellos_ellas_ustedes ends_in_ar high_irregularity imperativo irregular_verb regular_form 	dar	donar	3	P	M	0	pos	Señores, por favor,¡ (que) 	 (las clases), ya ! (ellos/ellas/ustedes)
679	Señora, por favor,¡ (que) {{c1::dé::…dar…}} (las clases), ya !(él/ella/usted)	 dar ends_in_ar high_irregularity imperativo irregular_form irregular_verb él_ella_usted 	dar	donar	3	S	M	0	pos	Señora, por favor,¡ (que) 	 (las clases), ya !(él/ella/usted)
634	Hugo ha {{c1::dado::…dar…}} (clases)	 dar dicho ends_in_ar high_irregularity in_the_wild irregular_verb participio regular_form 	dar	donar	0	S	P	0	0	Hugo ha 	 (clases)
674	↫ Fue sorprendente que ↫nosotros {{c1::diéramos | diésemos::…dar…}} (clases)	 dar ends_in_ar high_irregularity irregular_form irregular_verb nosotros subjuntivo_pasado 	dar	donar	1	P	S	I	0	↫ Fue sorprendente que ↫nosotros 	 (clases)
671	↫ Fue sorprendente que ↫yo {{c1::diera | diese::…dar…}} (clases)	 dar ends_in_ar high_irregularity irregular_form irregular_verb subjuntivo_pasado yo 	dar	donar	1	S	S	I	0	↫ Fue sorprendente que ↫yo 	 (clases)
675	↫ Fue sorprendente que ↫vosotros {{c1::dierais | dieseis::…dar…}} (clases)	 dar ends_in_ar high_irregularity irregular_form irregular_verb subjuntivo_pasado vosotros 	dar	donar	2	P	S	I	0	↫ Fue sorprendente que ↫vosotros 	 (clases)
676	↫ Fue sorprendente que ↫ellos/ellas/ustedes {{c1::dieran | diesen::…dar…}} (clases)	 dar ellos_ellas_ustedes ends_in_ar high_irregularity irregular_form irregular_verb subjuntivo_pasado 	dar	donar	3	P	S	I	0	↫ Fue sorprendente que ↫ellos/ellas/ustedes 	 (clases)
673	↫ Fue sorprendente que ↫él/ella/usted {{c1::diera | diese::…dar…}} (clases)	 dar ends_in_ar high_irregularity irregular_form irregular_verb subjuntivo_pasado él_ella_usted 	dar	donar	3	S	S	I	0	↫ Fue sorprendente que ↫él/ella/usted 	 (clases)
668	〰 Resulta divertido que 〰nosotros {{c1::demos::…dar…}} (clases)	 dar ends_in_ar high_irregularity irregular_verb nosotros regular_form subjuntivo_presente 	dar	donar	1	P	S	P	0	〰 Resulta divertido que 〰nosotros 	 (clases)
665	〰 Resulta divertido que 〰yo {{c1::dé::…dar…}} (clases)	 dar ends_in_ar high_irregularity irregular_form irregular_verb subjuntivo_presente yo 	dar	donar	1	S	S	P	0	〰 Resulta divertido que 〰yo 	 (clases)
669	〰 Resulta divertido que 〰vosotros {{c1::deis::…dar…}} (clases)	 dar ends_in_ar high_irregularity irregular_form irregular_verb subjuntivo_presente vosotros 	dar	donar	2	P	S	P	0	〰 Resulta divertido que 〰vosotros 	 (clases)
670	〰 Resulta divertido que 〰ellos/ellas/ustedes {{c1::den::…dar…}} (clases)	 dar ellos_ellas_ustedes ends_in_ar high_irregularity in_the_wild irregular_verb modismo regular_form subjuntivo_presente 	dar	donar	3	P	S	P	0	〰 Resulta divertido que 〰ellos/ellas/ustedes 	 (clases)
667	〰 Resulta divertido que 〰él/ella/usted {{c1::dé::…dar…}} (clases)	 dar ends_in_ar high_irregularity irregular_form irregular_verb subjuntivo_presente él_ella_usted 	dar	donar	3	S	S	P	0	〰 Resulta divertido que 〰él/ella/usted 	 (clases)
3413	Mientras estoy estudiando…ella está {{c1::endeudándose::…endeudarse…}}	 endeudarse ends_in_ar gerundio pronominal regular_form regular_verb 	endeudarse	endeutar-se	0	0	G	0	0	Mientras estoy estudiando…ella está 	
3443	… Si pasara algo, …nosotros {{c1::nos endeudaríamos::…endeudarse…}} 	 condicional endeudarse ends_in_ar nosotros pronominal regular_form regular_verb 	endeudarse	endeutar-se	1	P	I	C	0	… Si pasara algo, …nosotros 	 
3440	… Si ocurriese esto, …yo {{c1::me endeudaría::…endeudarse…}} 	 condicional endeudarse ends_in_ar pronominal regular_form regular_verb yo 	endeudarse	endeutar-se	1	S	I	C	0	… Si ocurriese esto, …yo 	 
3444	… Si aconteciese esto, …vosotros {{c1::os endeudaríais::…endeudarse…}} 	 condicional endeudarse ends_in_ar pronominal regular_form regular_verb vosotros 	endeudarse	endeutar-se	2	P	I	C	0	… Si aconteciese esto, …vosotros 	 
3445	… Si se produjera esto, …ellos/ellas/ustedes {{c1::se endeudarían::…endeudarse…}} 	 condicional ellos_ellas_ustedes endeudarse ends_in_ar pronominal regular_form regular_verb 	endeudarse	endeutar-se	3	P	I	C	0	… Si se produjera esto, …ellos/ellas/ustedes 	 
3442	… Si acaeciera algo, …él/ella/usted {{c1::se endeudaría::…endeudarse…}} 	 condicional endeudarse ends_in_ar pronominal regular_form regular_verb él_ella_usted 	endeudarse	endeutar-se	3	S	I	C	0	… Si acaeciera algo, …él/ella/usted 	 
3437	→ En el futuro, →nosotros {{c1::nos endeudaremos::…endeudarse…}} 	 endeudarse ends_in_ar futuro nosotros pronominal regular_form regular_verb 	endeudarse	endeutar-se	1	P	I	F	0	→ En el futuro, →nosotros 	 
3434	→ En el futuro, →yo {{c1::me endeudaré::…endeudarse…}} 	 endeudarse ends_in_ar futuro pronominal regular_form regular_verb yo 	endeudarse	endeutar-se	1	S	I	F	0	→ En el futuro, →yo 	 
3438	→ En el futuro, →vosotros {{c1::os endeudaréis::…endeudarse…}} 	 endeudarse ends_in_ar futuro pronominal regular_form regular_verb vosotros 	endeudarse	endeutar-se	2	P	I	F	0	→ En el futuro, →vosotros 	 
3439	→ En el futuro, →ellos/ellas/ustedes {{c1::se endeudarán::…endeudarse…}} 	 ellos_ellas_ustedes endeudarse ends_in_ar futuro pronominal regular_form regular_verb 	endeudarse	endeutar-se	3	P	I	F	0	→ En el futuro, →ellos/ellas/ustedes 	 
3436	→ En el futuro, →él/ella/usted {{c1::se endeudará::…endeudarse…}} 	 endeudarse ends_in_ar futuro pronominal regular_form regular_verb él_ella_usted 	endeudarse	endeutar-se	3	S	I	F	0	→ En el futuro, →él/ella/usted 	 
3425	⇠ En esa época, a menudo, ⇠nosotros {{c1::nos endeudábamos::…endeudarse…}} 	 endeudarse ends_in_ar imperfecto nosotros pronominal regular_form regular_verb 	endeudarse	endeutar-se	1	P	I	I	0	⇠ En esa época, a menudo, ⇠nosotros 	 
3422	⇠ En esa época, a menudo, ⇠yo {{c1::me endeudaba::…endeudarse…}} 	 endeudarse ends_in_ar imperfecto pronominal regular_form regular_verb yo 	endeudarse	endeutar-se	1	S	I	I	0	⇠ En esa época, a menudo, ⇠yo 	 
3426	⇠ En esa época, a menudo, ⇠vosotros {{c1::os endeudabais::…endeudarse…}} 	 endeudarse ends_in_ar imperfecto pronominal regular_form regular_verb vosotros 	endeudarse	endeutar-se	2	P	I	I	0	⇠ En esa época, a menudo, ⇠vosotros 	 
3427	⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes {{c1::se endeudaban::…endeudarse…}} 	 ellos_ellas_ustedes endeudarse ends_in_ar imperfecto pronominal regular_form regular_verb 	endeudarse	endeutar-se	3	P	I	I	0	⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes 	 
3424	⇠ En esa época, a menudo, ⇠él/ella/usted {{c1::se endeudaba::…endeudarse…}} 	 endeudarse ends_in_ar imperfecto pronominal regular_form regular_verb él_ella_usted 	endeudarse	endeutar-se	3	S	I	I	0	⇠ En esa época, a menudo, ⇠él/ella/usted 	 
3419	⊙ Ahora mismo, ⊙nosotros {{c1::nos endeudamos::…endeudarse…}} 	 endeudarse ends_in_ar nosotros presente pronominal regular_form regular_verb 	endeudarse	endeutar-se	1	P	I	P	0	⊙ Ahora mismo, ⊙nosotros 	 
3415	⊙ Ahora mismo, ⊙yo {{c1::me endeudo::…endeudarse…}} 	 endeudarse ends_in_ar presente pronominal regular_form regular_verb yo 	endeudarse	endeutar-se	1	S	I	P	0	⊙ Ahora mismo, ⊙yo 	 
3420	⊙ Ahora mismo, ⊙vosotros {{c1::os endeudáis::…endeudarse…}} 	 endeudarse ends_in_ar presente pronominal regular_form regular_verb vosotros 	endeudarse	endeutar-se	2	P	I	P	0	⊙ Ahora mismo, ⊙vosotros 	 
3421	⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::se endeudan::…endeudarse…}} 	 ellos_ellas_ustedes endeudarse ends_in_ar presente pronominal regular_form regular_verb 	endeudarse	endeutar-se	3	P	I	P	0	⊙ Ahora mismo, ⊙ellos/ellas/ustedes 	 
3418	⊙ Ahora mismo, ⊙él/ella/usted {{c1::se endeuda::…endeudarse…}} 	 endeudarse ends_in_ar presente pronominal regular_form regular_verb él_ella_usted 	endeudarse	endeutar-se	3	S	I	P	0	⊙ Ahora mismo, ⊙él/ella/usted 	 
3431	↧ En aquel momento ↧nosotros {{c1::nos endeudamos::…endeudarse…}} 	 endeudarse ends_in_ar indefinido nosotros pronominal regular_form regular_verb 	endeudarse	endeutar-se	1	P	I	passat_perifrastic	0	↧ En aquel momento ↧nosotros 	 
3428	↧ En aquel momento ↧yo {{c1::me endeudé::…endeudarse…}} 	 endeudarse ends_in_ar indefinido pronominal regular_form regular_verb yo 	endeudarse	endeutar-se	1	S	I	passat_perifrastic	0	↧ En aquel momento ↧yo 	 
3432	↧ En aquel momento ↧vosotros {{c1::os endeudasteis::…endeudarse…}} 	 endeudarse ends_in_ar indefinido pronominal regular_form regular_verb vosotros 	endeudarse	endeutar-se	2	P	I	passat_perifrastic	0	↧ En aquel momento ↧vosotros 	 
3433	↧ En aquel momento ↧ellos/ellas/ustedes {{c1::se endeudaron::…endeudarse…}} 	 ellos_ellas_ustedes endeudarse ends_in_ar indefinido pronominal regular_form regular_verb 	endeudarse	endeutar-se	3	P	I	passat_perifrastic	0	↧ En aquel momento ↧ellos/ellas/ustedes 	 
3430	↧ En aquel momento ↧él/ella/usted {{c1::se endeudó::…endeudarse…}} 	 endeudarse ends_in_ar indefinido pronominal regular_form regular_verb él_ella_usted 	endeudarse	endeutar-se	3	S	I	passat_perifrastic	0	↧ En aquel momento ↧él/ella/usted 	 
3462	Vámonos equipo, por favor,¡ {{c1::endeudémonos::…endeudarse…}} , ya !(nosotros)	 endeudarse ends_in_ar imperativo nosotros pronominal regular_form regular_verb 	endeudarse	endeutar-se	1	P	M	0	pos	Vámonos equipo, por favor,¡ 	 , ya !(nosotros)
3463	Tú y tú, por favor,¡ {{c1::endeudaos::…endeudarse…}} , ya !(vosotros)	 endeudarse ends_in_ar imperativo pronominal regular_form regular_verb vosotros 	endeudarse	endeutar-se	2	P	M	0	pos	Tú y tú, por favor,¡ 	 , ya !(vosotros)
3464	Señores, por favor,¡ {{c1::endéudense::…endeudarse…}} , ya ! (ellos/ellas/ustedes)	 ellos_ellas_ustedes endeudarse ends_in_ar imperativo pronominal regular_form regular_verb 	endeudarse	endeutar-se	3	P	M	0	pos	Señores, por favor,¡ 	 , ya ! (ellos/ellas/ustedes)
3461	Señora, por favor,¡ {{c1::endéudese::…endeudarse…}} , ya !(él/ella/usted)	 endeudarse ends_in_ar imperativo pronominal regular_form regular_verb él_ella_usted 	endeudarse	endeutar-se	3	S	M	0	pos	Señora, por favor,¡ 	 , ya !(él/ella/usted)
3414	Hugo se ha {{c1::endeudado::…endeudarse…}}	 endeudarse ends_in_ar in_the_wild modismo participio pronominal regular_form regular_verb 	endeudarse	endeutar-se	0	S	P	0	0	Hugo se ha 	
