note|tags|spanish_verb|inf_verb|person|sing_or_plural|mood|tense|pos_neg_cmd|context_phrase|cast_note|conj_verb|code|region|verb_type|gender|haver_verb|anar_verb|note1|note2|cat_note|tense_tag|mood_tag|ending_tag|pronoun_tag|cat_tags
⇠ En aquella època, sovint, ⇠nosaltres {{c1::debíamos::…deber…}} (sortir)| deber ends_in_er imperfecto nosotros regular_form regular_verb |deber|deure|1|P|I|I|0|salir|⇠ En esa época, a menudo, ⇠nosotros {{c1::debíamos::…deber…}} (salir)|devíem|VMII1P00|central|M|0|||⇠ En aquella època, sovint, ⇠nosaltres | (sortir)|⇠ En aquella època, sovint, ⇠nosaltres {{c1::devíem::…deure…}} (sortir)|imperfet|indicatiu|-re|nosaltres| imperfet indicatiu -re nosaltres deure 
⇠ En aquella època, sovint, ⇠vosaltres {{c1::debíais::…deber…}} (sortir)| deber ends_in_er imperfecto regular_form regular_verb vosotros |deber|deure|2|P|I|I|0|salir|⇠ En esa época, a menudo, ⇠vosotros {{c1::debíais::…deber…}} (salir)|devíeu|VMII2P00|central|M|0|||⇠ En aquella època, sovint, ⇠vosaltres | (sortir)|⇠ En aquella època, sovint, ⇠vosaltres {{c1::devíeu::…deure…}} (sortir)|imperfet|indicatiu|-re|vosaltres| imperfet indicatiu -re vosaltres deure 
⇠ En aquella època, sovint, ⇠ells/elles/vostès {{c1::debían::…deber…}} (sortir)| deber ellos_ellas_ustedes ends_in_er imperfecto regular_form regular_verb |deber|deure|3|P|I|I|0|salir|⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes {{c1::debían::…deber…}} (salir)|devien|VMII3P00|central|M|0|||⇠ En aquella època, sovint, ⇠ells/elles/vostès | (sortir)|⇠ En aquella època, sovint, ⇠ells/elles/vostès {{c1::devien::…deure…}} (sortir)|imperfet|indicatiu|-re|ells/elles/vostès| imperfet indicatiu -re ells/elles/vostès deure 
↧ En aquell moment ↧jo {{c1::debí::…deber…}} (sortir)| deber ends_in_er indefinido regular_form regular_verb yo |deber|deure|1|S|I|passat_perifrastic|0|salir|↧ En aquel momento ↧yo {{c1::debí::…deber…}} (salir)|vaig deure||||||vaig|↧ En aquell moment ↧jo | (sortir)|↧ En aquell moment ↧jo {{c1::vaig deure::…deure…}} (sortir)|passat_perifrastic|indicatiu|-re|jo| passat_perifrastic indicatiu -re jo deure 
↧ En aquell moment ↧tu {{c1::debiste::…deber…}} (sortir)| deber ends_in_er indefinido regular_form regular_verb tú_vos |deber|deure|2|S|I|passat_perifrastic|0|salir|↧ En aquel momento ↧tú/vos {{c1::debiste::…deber…}} (salir)|vas deure||||||vas|↧ En aquell moment ↧tu | (sortir)|↧ En aquell moment ↧tu {{c1::vas deure::…deure…}} (sortir)|passat_perifrastic|indicatiu|-re|tu| passat_perifrastic indicatiu -re tu deure 
↧ En aquell moment ↧ell/ella/vostè {{c1::debió::…deber…}} (sortir)| deber ends_in_er indefinido regular_form regular_verb él_ella_usted |deber|deure|3|S|I|passat_perifrastic|0|salir|↧ En aquel momento ↧él/ella/usted {{c1::debió::…deber…}} (salir)|va deure||||||va|↧ En aquell moment ↧ell/ella/vostè | (sortir)|↧ En aquell moment ↧ell/ella/vostè {{c1::va deure::…deure…}} (sortir)|passat_perifrastic|indicatiu|-re|ell/ella/vostè| passat_perifrastic indicatiu -re ell/ella/vostè deure 
↧ En aquell moment ↧nosaltres {{c1::debimos::…deber…}} (sortir)| deber ends_in_er indefinido nosotros regular_form regular_verb |deber|deure|1|P|I|passat_perifrastic|0|salir|↧ En aquel momento ↧nosotros {{c1::debimos::…deber…}} (salir)|vam deure||||||vam|↧ En aquell moment ↧nosaltres | (sortir)|↧ En aquell moment ↧nosaltres {{c1::vam deure::…deure…}} (sortir)|passat_perifrastic|indicatiu|-re|nosaltres| passat_perifrastic indicatiu -re nosaltres deure 
↧ En aquell moment ↧vosaltres {{c1::debisteis::…deber…}} (sortir)| deber ends_in_er indefinido regular_form regular_verb vosotros |deber|deure|2|P|I|passat_perifrastic|0|salir|↧ En aquel momento ↧vosotros {{c1::debisteis::…deber…}} (salir)|vau deure||||||vau|↧ En aquell moment ↧vosaltres | (sortir)|↧ En aquell moment ↧vosaltres {{c1::vau deure::…deure…}} (sortir)|passat_perifrastic|indicatiu|-re|vosaltres| passat_perifrastic indicatiu -re vosaltres deure 
↧ En aquell moment ↧ells/elles/vostès {{c1::debieron::…deber…}} (sortir)| deber ellos_ellas_ustedes ends_in_er indefinido regular_form regular_verb |deber|deure|3|P|I|passat_perifrastic|0|salir|↧ En aquel momento ↧ellos/ellas/ustedes {{c1::debieron::…deber…}} (salir)|van deure||||||van|↧ En aquell moment ↧ells/elles/vostès | (sortir)|↧ En aquell moment ↧ells/elles/vostès {{c1::van deure::…deure…}} (sortir)|passat_perifrastic|indicatiu|-re|ells/elles/vostès| passat_perifrastic indicatiu -re ells/elles/vostès deure 
→ En el futur, →jo {{c1::deberé::…deber…}} (sortir)| deber ends_in_er futuro regular_form regular_verb yo |deber|deure|1|S|I|F|0|salir|→ En el futuro, →yo {{c1::deberé::…deber…}} (salir)|deuré|VMIF1S00|central|M|0|||→ En el futur, →jo | (sortir)|→ En el futur, →jo {{c1::deuré::…deure…}} (sortir)|futur|indicatiu|-re|jo| futur indicatiu -re jo deure 
→ En el futur, →tu {{c1::deberás::…deber…}} (sortir)| deber ends_in_er futuro regular_form regular_verb tú_vos |deber|deure|2|S|I|F|0|salir|→ En el futuro, →tú/vos {{c1::deberás::…deber…}} (salir)|deuràs|VMIF2S00|central|M|0|||→ En el futur, →tu | (sortir)|→ En el futur, →tu {{c1::deuràs::…deure…}} (sortir)|futur|indicatiu|-re|tu| futur indicatiu -re tu deure 
→ En el futur, →ell/ella/vostè {{c1::deberá::…deber…}} (sortir)| deber ends_in_er futuro in_the_wild refrán regular_form regular_verb él_ella_usted |deber|deure|3|S|I|F|0|salir|→ En el futuro, →él/ella/usted {{c1::deberá::…deber…}} (salir)|deurà|VMIF3S00|central|M|0|||→ En el futur, →ell/ella/vostè | (sortir)|→ En el futur, →ell/ella/vostè {{c1::deurà::…deure…}} (sortir)|futur|indicatiu|-re|ell/ella/vostè| futur indicatiu -re ell/ella/vostè deure 
→ En el futur, →nosaltres {{c1::deberemos::…deber…}} (sortir)| deber ends_in_er futuro nosotros regular_form regular_verb |deber|deure|1|P|I|F|0|salir|→ En el futuro, →nosotros {{c1::deberemos::…deber…}} (salir)|deurem|VMIF1P00|central|M|0|||→ En el futur, →nosaltres | (sortir)|→ En el futur, →nosaltres {{c1::deurem::…deure…}} (sortir)|futur|indicatiu|-re|nosaltres| futur indicatiu -re nosaltres deure 
→ En el futur, →vosaltres {{c1::deberéis::…deber…}} (sortir)| deber ends_in_er futuro regular_form regular_verb vosotros |deber|deure|2|P|I|F|0|salir|→ En el futuro, →vosotros {{c1::deberéis::…deber…}} (salir)|deureu|VMIF2P00|central|M|0|||→ En el futur, →vosaltres | (sortir)|→ En el futur, →vosaltres {{c1::deureu::…deure…}} (sortir)|futur|indicatiu|-re|vosaltres| futur indicatiu -re vosaltres deure 
→ En el futur, →ells/elles/vostès {{c1::deberán::…deber…}} (sortir)| deber ellos_ellas_ustedes ends_in_er futuro regular_form regular_verb |deber|deure|3|P|I|F|0|salir|→ En el futuro, →ellos/ellas/ustedes {{c1::deberán::…deber…}} (salir)|deuran|VMIF3P00|central|M|0|||→ En el futur, →ells/elles/vostès | (sortir)|→ En el futur, →ells/elles/vostès {{c1::deuran::…deure…}} (sortir)|futur|indicatiu|-re|ells/elles/vostès| futur indicatiu -re ells/elles/vostès deure 
… Si passés això, …jo {{c1::debería::…deber…}} (sortir)| condicional deber ends_in_er regular_form regular_verb yo |deber|deure|1|S|I|C|0|salir|… Si ocurriese esto, …yo {{c1::debería::…deber…}} (salir)|deuria|VMIC1S00|central|M|0|||… Si passés això, …jo | (sortir)|… Si passés això, …jo {{c1::deuria::…deure…}} (sortir)|condicional|indicatiu|-re|jo| condicional indicatiu -re jo deure 
… Si sucediera esto, …tu {{c1::deberías::…deber…}} (sortir)| condicional deber ends_in_er regular_form regular_verb tú_vos |deber|deure|2|S|I|C|0|salir|… Si sucediera esto, …tú/vos {{c1::deberías::…deber…}} (salir)|deuries|VMIC2S00|central|M|0|||… Si sucediera esto, …tu | (sortir)|… Si sucediera esto, …tu {{c1::deuries::…deure…}} (sortir)|condicional|indicatiu|-re|tu| condicional indicatiu -re tu deure 
… Si s'esdevingués alguna cosa, …ell/ella/vostè {{c1::debería::…deber…}} (sortir)| condicional deber ends_in_er regular_form regular_verb él_ella_usted |deber|deure|3|S|I|C|0|salir|… Si acaeciera algo, …él/ella/usted {{c1::debería::…deber…}} (salir)|deuria|VMIC3S00|central|M|0|||… Si s'esdevingués alguna cosa, …ell/ella/vostè | (sortir)|… Si s'esdevingués alguna cosa, …ell/ella/vostè {{c1::deuria::…deure…}} (sortir)|condicional|indicatiu|-re|ell/ella/vostè| condicional indicatiu -re ell/ella/vostè deure 
… Si passés alguna cosa, …nosaltres {{c1::deberíamos::…deber…}} (sortir)| condicional deber ends_in_er nosotros regular_form regular_verb |deber|deure|1|P|I|C|0|salir|… Si pasara algo, …nosotros {{c1::deberíamos::…deber…}} (salir)|deuríem|VMIC1P00|central|M|0|||… Si passés alguna cosa, …nosaltres | (sortir)|… Si passés alguna cosa, …nosaltres {{c1::deuríem::…deure…}} (sortir)|condicional|indicatiu|-re|nosaltres| condicional indicatiu -re nosaltres deure 
… Si s'esdevingués això, …vosaltres {{c1::deberíais::…deber…}} (sortir)| condicional deber ends_in_er regular_form regular_verb vosotros |deber|deure|2|P|I|C|0|salir|… Si aconteciese esto, …vosotros {{c1::deberíais::…deber…}} (salir)|deuríeu|VMIC2P00|central|M|0|||… Si s'esdevingués això, …vosaltres | (sortir)|… Si s'esdevingués això, …vosaltres {{c1::deuríeu::…deure…}} (sortir)|condicional|indicatiu|-re|vosaltres| condicional indicatiu -re vosaltres deure 
… Si es produís això, …ells/elles/vostès {{c1::deberían::…deber…}} (sortir)| condicional deber ellos_ellas_ustedes ends_in_er in_the_wild modismo regular_form regular_verb |deber|deure|3|P|I|C|0|salir|… Si se produjera esto, …ellos/ellas/ustedes {{c1::deberían::…deber…}} (salir)|deurien|VMIC3P00|central|M|0|||… Si es produís això, …ells/elles/vostès | (sortir)|… Si es produís això, …ells/elles/vostès {{c1::deurien::…deure…}} (sortir)|condicional|indicatiu|-re|ells/elles/vostès| condicional indicatiu -re ells/elles/vostès deure 
〰 Resulta divertit que 〰jo {{c1::deba::…deber…}} (sortir)| deber ends_in_er regular_form regular_verb subjuntivo_presente yo |deber|deure|1|S|S|P|0|salir|〰 Resulta divertido que 〰yo {{c1::deba::…deber…}} (salir)|degui|VMSP1S0Y|central|M|0|||〰 Resulta divertit que 〰jo | (sortir)|〰 Resulta divertit que 〰jo {{c1::degui::…deure…}} (sortir)|present|subjuntiu|-re|jo| present subjuntiu -re jo deure 
〰 Resulta divertit que 〰tu {{c1::debas::…deber…}} (sortir)| deber ends_in_er regular_form regular_verb subjuntivo_presente tú_vos |deber|deure|2|S|S|P|0|salir|〰 Resulta divertido que 〰tú/vos {{c1::debas::…deber…}} (salir)|deguis|VMSP2S0Y|central|M|0|||〰 Resulta divertit que 〰tu | (sortir)|〰 Resulta divertit que 〰tu {{c1::deguis::…deure…}} (sortir)|present|subjuntiu|-re|tu| present subjuntiu -re tu deure 
〰 Resulta divertit que 〰ell/ella/vostè {{c1::deba::…deber…}} (sortir)| deber ends_in_er regular_form regular_verb subjuntivo_presente él_ella_usted |deber|deure|3|S|S|P|0|salir|〰 Resulta divertido que 〰él/ella/usted {{c1::deba::…deber…}} (salir)|degui|VMSP3S0Y|central|M|0|||〰 Resulta divertit que 〰ell/ella/vostè | (sortir)|〰 Resulta divertit que 〰ell/ella/vostè {{c1::degui::…deure…}} (sortir)|present|subjuntiu|-re|ell/ella/vostè| present subjuntiu -re ell/ella/vostè deure 
〰 Resulta divertit que 〰nosaltres {{c1::debamos::…deber…}} (sortir)| deber ends_in_er nosotros regular_form regular_verb subjuntivo_presente |deber|deure|1|P|S|P|0|salir|〰 Resulta divertido que 〰nosotros {{c1::debamos::…deber…}} (salir)|deguem|VMSP1P00|central|M|0|||〰 Resulta divertit que 〰nosaltres | (sortir)|〰 Resulta divertit que 〰nosaltres {{c1::deguem::…deure…}} (sortir)|present|subjuntiu|-re|nosaltres| present subjuntiu -re nosaltres deure 
〰 Resulta divertit que 〰vosaltres {{c1::debáis::…deber…}} (sortir)| deber ends_in_er regular_form regular_verb subjuntivo_presente vosotros |deber|deure|2|P|S|P|0|salir|〰 Resulta divertido que 〰vosotros {{c1::debáis::…deber…}} (salir)|degueu|VMSP2P00|central|M|0|||〰 Resulta divertit que 〰vosaltres | (sortir)|〰 Resulta divertit que 〰vosaltres {{c1::degueu::…deure…}} (sortir)|present|subjuntiu|-re|vosaltres| present subjuntiu -re vosaltres deure 
〰 Resulta divertit que 〰ells/elles/vostès {{c1::deban::…deber…}} (sortir)| deber ellos_ellas_ustedes ends_in_er regular_form regular_verb subjuntivo_presente |deber|deure|3|P|S|P|0|salir|〰 Resulta divertido que 〰ellos/ellas/ustedes {{c1::deban::…deber…}} (salir)|deguin|VMSP3P0Y|central|M|0|||〰 Resulta divertit que 〰ells/elles/vostès | (sortir)|〰 Resulta divertit que 〰ells/elles/vostès {{c1::deguin::…deure…}} (sortir)|present|subjuntiu|-re|ells/elles/vostès| present subjuntiu -re ells/elles/vostès deure 
"↫ Va ser sorprenent que ↫jo {{c1::debiera | debiese::…deber…}} (sortir)"| deber ends_in_er regular_form regular_verb subjuntivo_pasado yo |deber|deure|1|S|S|I|0|salir|"↫ Fue sorprendente que ↫yo {{c1::debiera | debiese::…deber…}} (salir)"|degués|VMSI1S01|central|M|0|||↫ Va ser sorprenent que ↫jo | (sortir)|↫ Va ser sorprenent que ↫jo {{c1::degués::…deure…}} (sortir)|imperfet|subjuntiu|-re|jo| imperfet subjuntiu -re jo deure 
"↫ Va ser sorprenent que ↫tu {{c1::debieras | debieses::…deber…}} (sortir)"| deber ends_in_er regular_form regular_verb subjuntivo_pasado tú_vos |deber|deure|2|S|S|I|0|salir|"↫ Fue sorprendente que ↫tú/vos {{c1::debieras | debieses::…deber…}} (salir)"|deguessis|VMSI2S02|central|M|0|||↫ Va ser sorprenent que ↫tu | (sortir)|↫ Va ser sorprenent que ↫tu {{c1::deguessis::…deure…}} (sortir)|imperfet|subjuntiu|-re|tu| imperfet subjuntiu -re tu deure 
"↫ Va ser sorprenent que ↫ell/ella/vostè {{c1::debiera | debiese::…deber…}} (sortir)"| deber ends_in_er regular_form regular_verb subjuntivo_pasado él_ella_usted |deber|deure|3|S|S|I|0|salir|"↫ Fue sorprendente que ↫él/ella/usted {{c1::debiera | debiese::…deber…}} (salir)"|degués|VMSI3S01|central|M|0|||↫ Va ser sorprenent que ↫ell/ella/vostè | (sortir)|↫ Va ser sorprenent que ↫ell/ella/vostè {{c1::degués::…deure…}} (sortir)|imperfet|subjuntiu|-re|ell/ella/vostè| imperfet subjuntiu -re ell/ella/vostè deure 
"↫ Va ser sorprenent que ↫nosaltres {{c1::debiéramos | debiésemos::…deber…}} (sortir)"| deber ends_in_er nosotros regular_form regular_verb subjuntivo_pasado |deber|deure|1|P|S|I|0|salir|"↫ Fue sorprendente que ↫nosotros {{c1::debiéramos | debiésemos::…deber…}} (salir)"|deguéssim|VMSI1P02|central|M|0|||↫ Va ser sorprenent que ↫nosaltres | (sortir)|↫ Va ser sorprenent que ↫nosaltres {{c1::deguéssim::…deure…}} (sortir)|imperfet|subjuntiu|-re|nosaltres| imperfet subjuntiu -re nosaltres deure 
"↫ Va ser sorprenent que ↫vosaltres {{c1::debierais | debieseis::…deber…}} (sortir)"| deber ends_in_er regular_form regular_verb subjuntivo_pasado vosotros |deber|deure|2|P|S|I|0|salir|"↫ Fue sorprendente que ↫vosotros {{c1::debierais | debieseis::…deber…}} (salir)"|deguéssiu|VMSI2P02|central|M|0|||↫ Va ser sorprenent que ↫vosaltres | (sortir)|↫ Va ser sorprenent que ↫vosaltres {{c1::deguéssiu::…deure…}} (sortir)|imperfet|subjuntiu|-re|vosaltres| imperfet subjuntiu -re vosaltres deure 
"↫ Va ser sorprenent que ↫ells/elles/vostès {{c1::debieran | debiesen::…deber…}} (sortir)"| deber ellos_ellas_ustedes ends_in_er regular_form regular_verb subjuntivo_pasado |deber|deure|3|P|S|I|0|salir|"↫ Fue sorprendente que ↫ellos/ellas/ustedes {{c1::debieran | debiesen::…deber…}} (salir)"|deguessin|VMSI3P02|central|M|0|||↫ Va ser sorprenent que ↫ells/elles/vostès | (sortir)|↫ Va ser sorprenent que ↫ells/elles/vostès {{c1::deguessin::…deure…}} (sortir)|imperfet|subjuntiu|-re|ells/elles/vostès| imperfet subjuntiu -re ells/elles/vostès deure 
—No me alcanza para saldar la deuda.—Doncs,   {{c1::debe::…deber…}} la suma, i ja està !(tu)| deber ends_in_er imperativo regular_form regular_verb tú tú_vos |deber|deure|2|S|M|0|pos|tú|—No me alcanza para saldar la deuda.—Pues, ¡ {{c1::debe::…deber…}} el monto, y ya está !(tú)|deu|VMM02S00|central|M|0|||—No me alcanza para saldar la deuda.—Doncs,   | la suma, i ja està !(tu)|—No me alcanza para saldar la deuda.—Doncs,   {{c1::deu::…deure…}} la suma, i ja està !(tu)||imperatiu|-re|tu| imperatiu -re tu deure 
—Me molesta estar endeudado.—Doncs,   no {{c1::debas::…deber…}} nada a nadie !(tu)| deber ends_in_er imperativo negative_imperativo regular_form regular_verb tú tú_vos |deber|deure|2|S|M|0|neg|tú|—Me molesta estar endeudado.—Pues, ¡ no {{c1::debas::…deber…}} nada a nadie !(tú)|deguis|VMSP2S0Y|central|M|0|||—Me molesta estar endeudado.—Doncs,   no | nada a nadie !(tu)|—Me molesta estar endeudado.—Doncs,   no {{c1::deguis::…deure…}} nada a nadie !(tu)||imperatiu|-re|tu| imperatiu -re tu deure 
—No us arriba per reemborsar el préstec.—Doncs,   {{c1::deba::…deber…}} la suma, i ja està !(ell/ella/vostè)| deber ends_in_er imperativo regular_form regular_verb él_ella_usted |deber|deure|3|S|M|0|pos|él/ella/usted|—No le alcanza para reembolsar el préstamo.—Pues, ¡ {{c1::deba::…deber…}} el monto, y ya está !(él/ella/usted)|degui|VMM03S0Y|central|M|0|||—No us arriba per reemborsar el préstec.—Doncs,   | la suma, i ja està !(ell/ella/vostè)|—No us arriba per reemborsar el préstec.—Doncs,   {{c1::degui::…deure…}} la suma, i ja està !(ell/ella/vostè)||imperatiu|-re|ell/ella/vostè| imperatiu -re ell/ella/vostè deure 
—No nos alcanza para devolver el diners.—Doncs,   {{c1::debamos::…deber…}} la suma, i ja està !(nosaltres)| deber ends_in_er imperativo nosotros regular_form regular_verb |deber|deure|1|P|M|0|pos|nosotros|—No nos alcanza para devolver el dinero.—Pues, ¡ {{c1::debamos::…deber…}} el monto, y ya está !(nosotros)|deguem|VMM01P00|central|M|0|||—No nos alcanza para devolver el diners.—Doncs,   | la suma, i ja està !(nosaltres)|—No nos alcanza para devolver el diners.—Doncs,   {{c1::deguem::…deure…}} la suma, i ja està !(nosaltres)||imperatiu|-re|nosaltres| imperatiu -re nosaltres deure 
—No ens arriba per restituir la fiança.—Doncs,   {{c1::debed::…deber…}} la suma, i ja està !(vosaltres)| deber ends_in_er imperativo regular_form regular_verb vosotros |deber|deure|2|P|M|0|pos|vosotros|—No nos alcanza para restituir la fianza.—Pues, ¡ {{c1::debed::…deber…}} el monto, y ya está !(vosotros)|deveu|VMM02P00|central|M|0|||—No ens arriba per restituir la fiança.—Doncs,   | la suma, i ja està !(vosaltres)|—No ens arriba per restituir la fiança.—Doncs,   {{c1::deveu::…deure…}} la suma, i ja està !(vosaltres)||imperatiu|-re|vosaltres| imperatiu -re vosaltres deure 
—No els arriba per abonar el tractament.—Doncs,   {{c1::deban::…deber…}} la suma, i ja està !(ells/elles/vostès)| deber ellos_ellas_ustedes ends_in_er imperativo regular_form regular_verb |deber|deure|3|P|M|0|pos|ellos/ellas/ustedes|—No les alcanza para abonar el tratamiento.—Pues, ¡ {{c1::deban::…deber…}} el monto, y ya está !(ellos/ellas/ustedes)|deguin|VMM03P0Y|central|M|0|||—No els arriba per abonar el tractament.—Doncs,   | la suma, i ja està !(ells/elles/vostès)|—No els arriba per abonar el tractament.—Doncs,   {{c1::deguin::…deure…}} la suma, i ja està !(ells/elles/vostès)||imperatiu|-re|ells/elles/vostès| imperatiu -re ells/elles/vostès deure 
A mesura que estic estudiant…ella està {{c1::viviendo::…vivir…}} (un son)| ends_in_ir gerundio regular_form regular_verb vivir |vivir|viure|0|0|G|0|0|un sueño|Mientras estoy estudiando…ella está {{c1::viviendo::…vivir…}} (un sueño)|vivint|VMG00000|central|M|0|||A mesura que estic estudiant…ella està | (un son)|A mesura que estic estudiant…ella està {{c1::vivint::…viure…}} (un son)||gerundi|-re|| gerundi -re viure 
Hugo ha {{c1::vivido::…vivir…}} (un son)| ends_in_ir participio regular_form regular_verb vivir |vivir|viure|0|S|P|0|0|un sueño|Hugo ha {{c1::vivido::…vivir…}} (un sueño)|viscut|VMP00SM0|central|M|M|||Hugo ha | (un son)|Hugo ha {{c1::viscut::…viure…}} (un son)||participi|-re|| participi -re viure 
⊙ Ara mateix, ⊙jo {{c1::vivo::…vivir…}} (amb poc)| ends_in_ir presente regular_form regular_verb vivir yo |vivir|viure|1|S|I|P|0|con poco|⊙ Ahora mismo, ⊙yo {{c1::vivo::…vivir…}} (con poco)|visc|VMIP1S00|central|M|0|||⊙ Ara mateix, ⊙jo | (amb poc)|⊙ Ara mateix, ⊙jo {{c1::visc::…viure…}} (amb poc)|present|indicatiu|-re|jo| present indicatiu -re jo viure 
⊙ Ara mateix, ⊙tu {{c1::vives::…vivir…}} (amb poc)| ends_in_ir presente regular_form regular_verb tú tú_vos vivir |vivir|viure|2|S|I|P|0|con poco|⊙ Ahora mismo, ⊙tú {{c1::vives::…vivir…}} (con poco)|vius|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (amb poc)|⊙ Ara mateix, ⊙tu {{c1::vius::…viure…}} (amb poc)|present|indicatiu|-re|tu| present indicatiu -re tu viure 
⊙ Ara mateix, ⊙ell/ella/vostè {{c1::vive::…vivir…}} (amb poc)| ends_in_ir in_the_wild presente refrán regular_form regular_verb vivir él_ella_usted |vivir|viure|3|S|I|P|0|con poco|⊙ Ahora mismo, ⊙él/ella/usted {{c1::vive::…vivir…}} (con poco)|viu|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (amb poc)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::viu::…viure…}} (amb poc)|present|indicatiu|-re|ell/ella/vostè| present indicatiu -re ell/ella/vostè viure 
⊙ Ara mateix, ⊙nosaltres {{c1::vivimos::…vivir…}} (amb poc)| ends_in_ir nosotros presente regular_form regular_verb vivir |vivir|viure|1|P|I|P|0|con poco|⊙ Ahora mismo, ⊙nosotros {{c1::vivimos::…vivir…}} (con poco)|vivim|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (amb poc)|⊙ Ara mateix, ⊙nosaltres {{c1::vivim::…viure…}} (amb poc)|present|indicatiu|-re|nosaltres| present indicatiu -re nosaltres viure 
⊙ Ara mateix, ⊙vosaltres {{c1::vivís::…vivir…}} (amb poc)| ends_in_ir presente regular_form regular_verb vivir vosotros |vivir|viure|2|P|I|P|0|con poco|⊙ Ahora mismo, ⊙vosotros {{c1::vivís::…vivir…}} (con poco)|viviu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (amb poc)|⊙ Ara mateix, ⊙vosaltres {{c1::viviu::…viure…}} (amb poc)|present|indicatiu|-re|vosaltres| present indicatiu -re vosaltres viure 
⊙ Ara mateix, ⊙ells/elles/vostès {{c1::viven::…vivir…}} (amb poc)| ellos_ellas_ustedes ends_in_ir presente regular_form regular_verb vivir |vivir|viure|3|P|I|P|0|con poco|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::viven::…vivir…}} (con poco)|viuen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (amb poc)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::viuen::…viure…}} (amb poc)|present|indicatiu|-re|ells/elles/vostès| present indicatiu -re ells/elles/vostès viure 
⇠ En aquella època, sovint, ⇠jo {{c1::vivía::…vivir…}} (amb poc)| ends_in_ir imperfecto regular_form regular_verb vivir yo |vivir|viure|1|S|I|I|0|con poco|⇠ En esa época, a menudo, ⇠yo {{c1::vivía::…vivir…}} (con poco)|vivia|VMII1S00|central|M|0|||⇠ En aquella època, sovint, ⇠jo | (amb poc)|⇠ En aquella època, sovint, ⇠jo {{c1::vivia::…viure…}} (amb poc)|imperfet|indicatiu|-re|jo| imperfet indicatiu -re jo viure 
⇠ En aquella època, sovint, ⇠tu {{c1::vivías::…vivir…}} (amb poc)| ends_in_ir imperfecto regular_form regular_verb tú_vos vivir |vivir|viure|2|S|I|I|0|con poco|⇠ En esa época, a menudo, ⇠tú/vos {{c1::vivías::…vivir…}} (con poco)|vivies|VMII2S00|central|M|0|||⇠ En aquella època, sovint, ⇠tu | (amb poc)|⇠ En aquella època, sovint, ⇠tu {{c1::vivies::…viure…}} (amb poc)|imperfet|indicatiu|-re|tu| imperfet indicatiu -re tu viure 
⇠ En aquella època, sovint, ⇠ell/ella/vostè {{c1::vivía::…vivir…}} (amb poc)| ends_in_ir imperfecto regular_form regular_verb vivir él_ella_usted |vivir|viure|3|S|I|I|0|con poco|⇠ En esa época, a menudo, ⇠él/ella/usted {{c1::vivía::…vivir…}} (con poco)|vivia|VMII3S00|central|M|0|||⇠ En aquella època, sovint, ⇠ell/ella/vostè | (amb poc)|⇠ En aquella època, sovint, ⇠ell/ella/vostè {{c1::vivia::…viure…}} (amb poc)|imperfet|indicatiu|-re|ell/ella/vostè| imperfet indicatiu -re ell/ella/vostè viure 
⇠ En aquella època, sovint, ⇠nosaltres {{c1::vivíamos::…vivir…}} (amb poc)| ends_in_ir imperfecto in_the_wild nosotros refrán regular_form regular_verb vivir |vivir|viure|1|P|I|I|0|con poco|⇠ En esa época, a menudo, ⇠nosotros {{c1::vivíamos::…vivir…}} (con poco)|vivíem|VMII1P00|central|M|0|||⇠ En aquella època, sovint, ⇠nosaltres | (amb poc)|⇠ En aquella època, sovint, ⇠nosaltres {{c1::vivíem::…viure…}} (amb poc)|imperfet|indicatiu|-re|nosaltres| imperfet indicatiu -re nosaltres viure 
⇠ En aquella època, sovint, ⇠vosaltres {{c1::vivíais::…vivir…}} (amb poc)| ends_in_ir imperfecto regular_form regular_verb vivir vosotros |vivir|viure|2|P|I|I|0|con poco|⇠ En esa época, a menudo, ⇠vosotros {{c1::vivíais::…vivir…}} (con poco)|vivíeu|VMII2P00|central|M|0|||⇠ En aquella època, sovint, ⇠vosaltres | (amb poc)|⇠ En aquella època, sovint, ⇠vosaltres {{c1::vivíeu::…viure…}} (amb poc)|imperfet|indicatiu|-re|vosaltres| imperfet indicatiu -re vosaltres viure 
